region,totalCases,totalInfected,recovered,deceased,latitude,longitude
Andaman and Nicobar Islands,44,11,33,0,11.66702557,92.73598262
Andhra Pradesh,6841,3244,3509,88,14.7504291,78.57002559
Arunachal Pradesh,95,88,7,0,27.10039878,93.61660071
Assam,4319,2145,2166,8,26.7499809,94.21666744
Bihar,6778,2093,4644,41,25.78541445,87.4799727
Chandigarh,358,50,302,6,30.71999697,76.78000565
Chhattisgarh,1781,736,1036,9,22.09042035,82.15998734
Dadra and Nagar Haveli and Daman and Diu,45,36,9,0,20.26657819,73.0166178
Delhi,44688,26351,16500,1837,28.6699929,77.23000403
Goa,629,544,85,0,15.496777,73.827827
Gujarat,24577,5962,17082,1533,22.309425,72.13623
Haryana,8272,4406,3748,118,28.45000633,77.01999101
Himachal Pradesh,560,180,372,8,31.10002545,77.16659704
Jammu and Kashmir,5298,2454,2781,63,34.29995933,74.46665849
Jharkhand,1839,709,1121,9,23.80039349,86.41998572
Karnataka,7530,2980,4456,94,12.57038129,76.91999711
Kerala,2622,1366,1236,20,8.900372741,76.56999263
Ladakh,649,563,85,1,34.209515,77.615112
Madhya Pradesh,11083,2455,8152,476,21.30039105,76.13001949
Maharashtra,113445,50057,57851,5537,19.25023195,73.16017493
Manipur,500,341,159,0,24.79997072,93.95001705
Meghalaya,44,18,25,1,25.57049217,91.8800142
Mizoram,121,120,1,0,23.71039899,92.72001461
Nagaland,179,87,92,0,25.6669979,94.11657019
Odisha,4163,1178,2974,11,19.82042971,85.90001746
Puducherry,216,111,99,6,11.93499371,79.83000037
Punjab,3371,838,2461,72,31.51997398,75.98000281
Rajasthan,13216,3059,9849,308,26.44999921,74.63998124
Sikkim,70,66,4,0,27.3333303,88.6166475
Tamil Nadu,48019,20709,26782,528,12.92038576,79.15004187
Telangana,5406,2188,3027,191,23.83540428,91.27999914
Tripura,1092,658,433,1,23.745127,91.746826
Uttarakhand,1942,701,1216,25,27.59998069,78.05000565
Uttar Pradesh,14091,5064,8610,417,30.32040895,78.05000565
